"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"SATB2-AS1",1290,930,1454,1666,1207,1140,1450,1222
"RN7SL717P",38,23,26,14,24,17,24,22
"TYW5",1046,786,1102,1168,1039,874,1282,1080
"AC004464.1",6088,4954,6010,5793,7240,6598,8357,7319
"SPATS2L",108,80,104,129,154,118,113,91
"RNY4P34",4696,4084,4901,4133,4240,3924,4507,3628
"AOX2P",736,524,484,478,632,572,585,424
"RNU1-133P",21,15,10,12,15,18,9,11
"BZW1-AS1",249,203,224,226,125,107,190,172
"ORC2",1510,1282,1239,1161,1484,1417,1180,990
"AC007272.1",458,321,587,674,521,418,691,609
"IMPDH1P10",148,104,138,153,152,126,150,146
"CFLAR-AS1",24,30,25,18,38,31,27,24
"RNU7-45P",846,650,1092,1097,805,742,1171,893
"SCYL2P1",1651,1362,2142,1787,1314,1070,1921,1476
"C2CD6",286,212,217,197,308,284,306,231
"MTND4LP16",34,26,15,18,7,12,11,13
"AC007279.1",715,578,956,881,530,487,850,689
"MPP4",1224,852,1145,1213,1268,1072,1426,1065
"CDK15",1719,1119,1564,2009,1661,1342,1615,1613
"SUMO1",2342,2225,2521,2017,2877,2627,3492,2656
"SNORD70",982,840,1127,1010,1009,911,1072,876
"SNORD70B",1007,740,1392,1518,1231,1003,1760,1376
"AC064836.3",85,63,44,52,73,63,54,27
"AC064836.2",363,258,200,228,469,377,265,183
"H3P8",415,248,309,324,365,310,348,276
"MTCO1P17",501,378,615,667,572,483,825,602
"MTCO2P17",310,204,333,340,281,234,256,237
"MTND3P17",238,184,183,176,182,194,197,139
"FAM117B",117,76,140,141,147,103,158,122
"AC098831.1",2840,2331,2346,2173,3507,3197,3309,2555
"CARF",2423,2280,2333,1980,2267,2060,2304,1651
"RPL7P14",466,419,606,559,604,499,644,515
"AC023271.1",44,33,19,22,17,17,12,11
"KRT18P39",1542,1325,1268,965,1525,1487,1366,1082
"NPM1P33",782,636,962,931,863,715,1066,816
"AC009965.2",724,541,538,558,616,537,604,510
"AC009965.1",49,44,59,53,58,50,57,41
"AC009498.1",665,570,698,631,701,572,766,537
"AC007736.1",258,165,186,263,222,156,218,202
"NRP2",153,110,132,125,166,148,139,119
"PPIAP68",3972,3415,4573,4012,4198,3803,5077,3905
"EEF1B2",7868,6560,9003,7557,7577,7056,9146,7426
"GPR1",3671,2970,4385,3992,3398,2992,3644,2828
"HNRNPA1P51",340,294,205,143,469,432,287,182
"MDH1B",511,454,519,494,537,491,533,434
"KLF7-IT1",1419,1355,1295,1047,1123,1048,1139,837
"AC007879.5",401,284,306,382,439,364,485,360
"CREB1",668,529,645,708,840,720,709,509
"PPP1R14BP2",379,309,350,256,386,369,340,305
"AC096772.1",620,514,537,491,540,496,597,457
"FZD5",48,34,29,26,46,40,31,17
"RNU6-360P",33,31,50,39,44,35,33,26
"RPL9P14",766,609,845,838,711,611,877,629
"CRYGD",101,93,27,23,119,115,53,36
"AC093698.1",2543,2414,2556,2149,2117,2033,2477,1762
"CRYGB",634,637,594,481,635,557,658,473
"MYL6BP1",348,324,263,259,442,433,370,272
"PTH2R",24,24,14,19,8,3,16,18
"HSPA8P6",490,431,733,675,393,364,588,492
"RPE",1104,858,1166,1172,920,832,1158,992
"LANCL1",101,94,108,103,65,81,96,69
"CPS1",19076,17052,20246,17915,15987,14313,17989,14369
"AC108066.1",320,214,387,413,421,345,449,370
"SPAG16-DT",166,121,158,136,133,107,153,119
"SPAG16",3878,3593,3473,2828,3614,3310,3283,2479
"ENSAP3",49,45,46,33,57,63,66,58
"AC012462.2",90,88,99,86,106,84,108,80
"LINC00607",793,675,744,641,680,622,787,623
"LINC01614",75,70,71,56,67,58,80,50
"AC122136.1",312,230,228,224,315,263,341,253
"MREG",2595,2298,2404,2298,2324,2047,2437,1982
"PECR",69,45,63,53,50,55,52,46
"AC098820.1",29,25,35,31,38,34,48,49
"AC098820.2",113,100,129,147,179,147,160,130
"IGFBP2",286,193,277,298,254,188,306,216
"RN7SKP43",3664,3299,4024,3345,3946,3602,4230,3124
"DIRC3",97,62,121,147,108,112,157,145
"TNS1",6094,4844,7153,6701,5999,5184,6155,4852
"MIR6809",148,144,108,106,179,161,135,101
"MIR6513",97,70,48,48,113,86,62,34
"AC021016.2",156,114,136,138,68,85,159,128
"USP37",81,91,53,45,110,123,86,44
"ZNF142",383,345,372,312,403,372,422,325
"CYP27A1",121,98,140,100,123,136,169,154
"PRKAG3",31,29,32,40,27,26,26,19
"RPL23AP31",54,58,42,27,37,39,35,24
"RNU6-642P",106,90,114,105,131,117,115,76
"CRYBA2",1440,1355,997,886,1292,1210,1090,861
"AC097468.1",253,191,262,279,303,237,309,219
"SLC23A3",36,23,42,32,38,39,49,21
"ZFAND2B",1427,1018,1149,1198,1598,1343,1219,959
"AC068946.3",355,309,463,427,354,317,415,334
"ATG9A",316,230,263,272,321,293,309,221
"STK16",113,76,99,114,92,100,129,103
"AC053503.6",236,160,346,339,340,299,418,361
"SPEGNB",351,307,224,173,249,250,274,209
"AC053503.4",1196,802,1326,1404,1207,956,1540,1079
"OBSL1",1110,912,1792,1757,1153,918,1686,1317
"DNAJB6P3",191,173,150,141,200,171,146,111
"LINC01803",2696,2680,2684,2132,2515,2435,2706,1977
"AC019211.1",18,13,11,11,9,8,14,17
"AC067956.1",1940,1506,2022,2017,1566,1248,1760,1283
"SGPP2",852,682,859,842,1075,1012,973,757
"GAPDHP49",1513,1245,1571,1504,1695,1521,1655,1333
"RPL31P17",1173,833,837,929,1041,870,1031,952
"ACSL3",424,313,368,453,568,467,479,389
"ATG12P2",5113,4292,4937,4507,4812,4384,5719,4361
"ACSL3-AS1",399,288,404,392,338,279,368,304
"RN7SL807P",31,27,36,29,18,23,39,32
"HIGD1AP4",213,187,287,307,241,198,321,254
"AC013448.2",458,378,366,325,601,567,705,497
"AC093884.1",863,802,891,734,1167,1091,1174,903
"AC073641.1",245,172,272,308,288,245,314,267
"AC073052.1",67,68,71,63,51,48,60,53
"NYAP2",2278,1764,3194,2986,2132,1816,2685,2134
"AC068138.1",120,97,110,116,114,105,160,98
"COL4A4",96,95,75,97,61,48,111,71
"COL4A3",33,24,9,9,15,12,14,13
"MIR5703",25,25,18,15,31,13,34,19
"AGFG1",161,121,217,237,220,178,258,168
"C2orf83",81,46,63,57,53,58,69,65
"SCYGR6",502,410,450,402,429,385,428,335
"SCYGR7",1683,1373,1616,1501,1478,1310,1973,1479
"AC073065.1",146,138,164,126,97,80,128,123
"CCL20",88,77,89,86,138,136,112,79
"SNF8P1",963,726,743,745,1140,949,996,765
"RPL7L1P10",184,159,106,111,144,133,103,79
"DNER",220,170,231,258,340,278,332,288
"RNY4P19",564,458,564,531,694,590,600,437
"AC009950.1",418,316,335,355,300,253,305,329
"SP100",31,25,17,22,37,26,24,20
"RNU6-451P",14,17,15,4,15,10,14,15
"ITM2C",95,78,136,125,122,90,121,104
"GPR55",1331,913,1224,1239,1351,1217,1299,1111
"AC012507.1",3469,2655,3493,3340,2606,2410,3017,2345
"AC012507.3",1378,1091,1277,1175,1482,1360,1311,1022
"SPATA3-AS1",141,145,149,136,59,51,112,65
"C2orf72",272,184,217,181,231,217,209,226
"HTR2B",422,296,194,181,384,349,252,165
"ZBTB8OSP2",6898,6003,7452,6560,6655,6029,7835,6193
"NCL",57,53,42,41,46,40,59,38
"AC017104.3",20,8,6,11,19,8,20,11
"RPL23AP26",39,29,27,26,55,37,24,17
"RPL28P2",710,658,1024,815,778,702,1080,912
"AC073476.2",9034,8255,11745,9608,8487,7848,9743,7589
"AC019130.1",278,172,258,238,281,242,262,203
"NRBF2P6",289,185,397,395,337,314,410,297
"ECEL1P3",31,21,26,37,14,11,29,17
"ALPG",4750,3901,4648,4071,4659,4354,4806,3844
"ALPI",31,32,29,33,52,34,41,25
"CHRND",603,470,1208,1171,545,552,1296,1021
"CHRNG",27,21,25,25,41,33,28,26
"AC073254.1",1534,1268,1365,1235,1574,1455,1633,1189
"RNU6-107P",91,87,39,39,76,72,67,37
"USP40",361,276,596,620,361,321,655,439
"UGT1A10",108,99,100,123,133,89,99,82
"UGT1A9",460,366,493,492,556,422,575,431
"UGT1A5",1122,989,717,658,1045,1027,893,703
"UGT1A3",388,277,294,299,538,469,504,404
"DNAJB3",140,104,115,147,192,160,124,110
"AC114812.1",141,146,165,158,220,161,201,158
"HJURP",979,822,1045,1084,966,859,1032,788
"AC005538.2",680,604,787,691,763,695,877,748
"AC006037.2",66,49,79,66,53,56,72,50
"AC006037.1",1543,1290,1924,1604,1364,1176,2130,1602
"AC122134.1",94,111,39,48,198,159,98,81
"TMSB10P1",83,74,71,55,85,73,73,53
"ASB18",961,724,948,864,972,881,1146,812
"RNU1-31P",777,649,868,697,490,474,738,622
"RPL3P5",238,188,191,183,173,141,231,162
"AC084030.1",619,570,436,370,562,517,586,415
"AC012063.1",1943,1561,1838,2032,2400,2047,2248,1849
"AC112715.1",2786,2337,2614,2393,3072,2698,2568,2055
"MIR6811",1564,1249,1756,1695,1175,1132,1444,1165
"RNU6-1140P",391,277,363,432,382,291,476,344
"AC104667.1",316,258,209,146,446,430,309,251
"LRRFIP1",21,15,29,22,10,8,23,10
"RNU6-1333P",2625,1867,3602,3941,2636,2183,3590,2701
"KLHL30",281,247,398,343,187,150,420,334
"PER2",77,63,83,62,152,131,105,78
"AC012485.3",101,79,81,98,71,49,70,76
"RNU6-234P",33,27,24,22,40,39,30,37
"AC016999.2",8624,7593,12969,10554,8503,7946,13445,10733
"LINC01937",475,378,459,451,536,513,519,389
"AC113618.2",3358,2776,3987,3495,3162,2989,4253,3261
"AC145625.2",30,15,30,32,34,21,32,16
"HDAC4",65,37,59,47,54,42,66,44
"MIR4269",31,24,36,15,16,15,27,18
"HDAC4-AS1",1590,1437,1903,1502,1438,1322,1801,1291
"AC023787.2",671,498,626,578,555,531,643,441
"AC023787.3",2295,2040,2401,1988,2242,2013,2568,1951
"OR6B3",1455,1272,1367,1148,1343,1211,1409,1176
"GPC1",198,166,137,136,213,178,191,154
"AQP12B",49,53,28,21,82,76,52,57
"SNED1",563,371,648,654,439,373,491,379
"AC005237.1",617,520,365,303,628,544,478,372
"ANO7",1394,1154,1447,1332,1637,1556,1704,1350
"AC005104.1",263,185,311,285,327,286,330,255
"AC005104.2",167,142,170,177,193,167,220,148
"MIR3133",48,43,68,50,99,95,95,73
"AC114730.3",443,399,366,276,394,364,458,319
"AC131097.2",3214,2712,4780,4398,3294,2877,5374,4227
"AC066595.1",47,31,31,30,33,28,21,27
"LINC01266",917,710,700,729,759,653,736,616
"RN7SL120P",1148,934,1448,1464,1564,1334,1626,1248
"CRB3P1",1407,1085,1585,1466,1524,1365,1845,1380
"RPL23AP39",27,18,28,44,28,21,39,25
"RPL21P17",517,466,914,927,606,523,927,649
"AC087427.1",325,212,413,385,430,356,514,329
"DNAJC19P4",5918,4917,5239,4864,6441,5791,6123,4962
"AC024060.1",456,340,356,334,434,447,322,250
"CRBN",205,163,217,251,194,166,281,204
"SUMF1",2054,1853,1936,1567,1606,1580,1641,1106
"AC023480.1",288,226,346,399,340,263,420,279
"SETMAR",175,110,196,242,212,166,255,201
"AC018816.2",91,85,53,66,133,118,65,85
"BHLHE40",803,551,664,686,1115,971,961,756
"AC090955.2",73,47,95,79,96,100,102,77
"EDEM1",517,348,446,469,404,358,467,425
"MIR4790",89,96,66,56,94,107,66,59
"AC026202.1",9520,7739,8347,8127,8404,7297,8414,5937
"RAD18",292,223,171,137,333,285,242,179
"AC034186.2",170,134,170,170,252,210,226,205
"AC034186.1",1328,990,1508,1546,1286,1157,1587,1355
"SRGAP3",1841,1344,1756,1670,1831,1602,2110,1591
"SRGAP3-AS3",28,14,30,21,39,36,36,30
"AC026191.1",1381,1134,1612,1486,1435,1260,1829,1295
"MTMR14",580,463,756,783,804,685,865,816
"BRPF1",502,414,658,539,580,488,727,511
"RPUSD3",110,85,88,85,176,110,111,101
"IL17RC",612,457,771,717,637,562,850,622
"AC018809.1",1309,935,1788,1828,832,746,1437,1091
"CYCSP10",8715,6535,9085,9244,9049,7940,9127,7280
"CIDECP1",483,335,597,626,556,466,770,659
"FANCD2",1698,1502,3069,2530,1105,1004,2226,1637
"VHL",663,607,866,696,830,767,846,684
"AC022384.1",319,297,260,237,362,330,346,272
"LINC00852",567,488,559,481,496,411,465,347
"AC022384.2",141,118,76,68,160,178,119,98
"SEC13",433,402,569,502,402,359,640,445
"MIR885",2017,1738,1581,1315,1335,1259,1448,1080
"ATP2B2-IT1",30523,24244,26068,27110,26538,23041,25423,21597
"AC026185.1",182,195,130,111,81,88,111,83
"VGLL4",115,75,137,162,114,108,194,147
"CYCSP12",45,31,33,34,96,88,76,69
"RN7SL147P",799,628,688,726,956,748,960,724
"MKRN2",2061,1657,2597,2394,2610,2248,2544,1905
"CRIP1P1",2740,2080,3414,3405,3017,2632,3595,2746
"TMEM40",847,764,950,734,931,765,911,718
"RPL32",21,23,9,14,24,32,11,14
"LINC02022",375,338,312,265,402,326,374,248
"HDAC11",261,195,349,425,245,266,348,289
"LINC00620",219,177,374,358,209,174,340,272
"WNT7A",1404,1201,991,848,982,849,1084,856
"VN1R20P",38,34,28,15,38,31,17,29
"VN1R21P",2028,1829,1032,844,1874,1671,1007,809
"LSM3",20,12,13,11,27,16,24,15
"RNA5SP124",1997,1647,1922,1881,1826,1627,2615,2093
"RNU6-905P",917,799,901,783,936,885,1003,712
"AC090952.1",328,263,273,273,346,323,301,238
"CCDC174",95,96,145,167,155,91,141,101
"AC090957.1",736,530,780,819,1391,1144,1244,1007
"AC090954.1",306,244,279,261,229,191,289,225
"RPS3AP53",1512,1249,2413,2412,1442,1218,2580,2048
"SH3BP5",125,83,85,101,103,69,83,86
"METTL6",379,236,370,415,369,322,361,313
"EAF1-AS1",74,74,55,39,39,36,50,40
"COLQ",44,40,33,37,26,32,36,37
"HACL1",289,231,272,254,194,163,271,253
"ANKRD28",260,187,238,243,261,248,273,219
"AC090950.2",91,66,136,124,121,109,180,119
"AC090950.1",108,99,81,71,91,80,80,70
"AC090945.1",285,206,266,304,380,288,346,272
"GALNT15",16,20,12,21,21,15,29,11
"AC090948.2",103,80,78,115,98,85,111,76
"AC090948.4",1137,1005,1155,951,1329,1208,1378,976
"AC010727.1",697,508,906,921,771,647,931,722
"AC091493.1",2921,2675,3035,2796,2733,2457,2992,2273
"PLCL2-AS1",113,74,180,191,169,146,264,191
"TBC1D5",268,216,119,97,127,117,140,121
"AC090960.1",42,18,31,25,38,42,50,39
"RNU7-10P",21,18,11,12,19,14,12,12
"PDCL3P3",39,21,28,36,26,28,25,22
"HSPA8P18",12,8,12,14,20,16,23,12
"PP2D1",13,13,13,13,40,36,24,18
"KAT2B",35,29,33,23,40,21,23,16
"SGO1",641,548,454,394,738,695,582,492
"SGO1-AS1",357,325,378,392,359,292,330,270
"RNU6-815P",143,125,94,83,134,133,134,116
"SALL4P5",3491,2811,3030,2853,3842,3359,3265,2382
"RPL24P7",94,64,80,95,53,50,89,66
"UBE2E2",162,125,178,124,153,135,179,148
"UBE2E1-AS1",128,58,79,56,101,46,116,51
"RPL15",24,18,22,28,17,8,21,20
"NR1D2",523,384,431,469,487,424,566,395
"AC012087.2",11,17,19,14,15,17,10,12
"AC012087.1",19,29,23,24,32,19,35,16
"AC092422.1",924,748,817,798,895,786,881,706
"RN7SL216P",2367,1669,2636,2767,2956,2678,3371,2830
"TOP2B",5292,4842,6244,5170,4930,4571,6776,5227
"CRIP1P2",1869,1593,1708,1583,1860,1649,1752,1392
"RNU6-342P",56,52,42,33,36,47,32,28
"AC099535.2",70,69,110,86,75,46,97,71
"RNU1-96P",1067,786,1101,1108,1157,910,1265,993
"AC098614.1",135,108,84,61,108,112,87,79
"AC098614.2",352,308,225,185,262,236,228,145
"LINC01967",846,896,896,703,1032,911,1204,819
"AC098650.1",55,43,51,39,93,71,57,64
"RBMS3",20,14,18,14,16,16,15,17
"RBMS3-AS2",1390,1249,664,503,796,726,754,609
"MTND4LP9",383,320,454,378,299,296,354,314
"MIR466",12,11,18,18,15,9,17,13
"THRAP3P1",63,53,112,96,61,52,90,66
"ZNF860",19,15,35,36,38,22,32,29
"AC097639.2",217,146,265,313,270,217,324,256
"CMTM6",77,72,63,55,64,53,31,35
"AC104306.2",217,187,241,252,252,193,300,237
"CNOT10-AS1",240,206,253,238,306,247,300,263
"TRIM71",3227,2502,3478,3346,4088,3473,4556,3422
"GLB1",1588,1358,3508,3173,1202,1069,2661,1949
"TMPPE",297,279,142,136,267,276,209,169
"CRTAP",437,311,313,380,311,282,312,229
"AC112211.1",625,535,688,699,591,522,739,545
"AC123900.1",202,131,250,242,174,178,267,202
"UBP1",18,13,10,7,18,12,13,9
"RNU7-110P",402,348,216,177,340,293,285,235
"RNA5SP128",857,693,761,657,730,705,899,715
"CLASP2",30,16,26,16,16,7,17,8
"COX6CP10",320,248,436,358,340,277,441,383
"AC123023.2",658,577,518,500,593,562,595,516
"AC007483.1",101,72,48,74,92,66,69,61
"ARPP21",127,99,58,54,99,77,69,48
"MIR128-2",184,158,179,159,165,157,225,162
"HSPD1P6",11,13,13,19,8,11,12,14
"LINC02033",3078,2596,3518,3381,3547,3227,4070,3062
"AC105749.1",47,40,34,38,34,25,37,40
"PRADC1P1",109,93,81,79,125,115,97,68
"MLH1",1255,891,1232,1351,1324,1187,1316,1157
"RPL29P11",60,69,31,27,41,43,42,36
"LRRFIP2",1483,1241,2102,2030,1824,1585,2624,2050
"UBE2D3P2",354,283,376,367,390,349,512,365
"RNU6-1301P",92,69,55,52,48,51,60,47
"UBE2FP1",303,254,258,231,424,364,375,290
"AC126118.1",309,225,186,163,311,281,238,190
"RNU7-73P",30,23,31,22,18,17,37,21
"RPL21P135",669,626,972,768,970,788,1002,752
"MIR26A1",168,142,203,176,107,107,180,146
"PPP2R2DP1",470,400,375,368,271,221,326,252
"AP006193.1",1436,1218,1429,1252,1241,1206,1343,1035
"ACVR2B-AS1",221,189,287,285,241,225,336,225
"EXOG",775,636,1206,1148,740,637,1098,898
"AP006241.1",698,552,1166,1119,754,665,1010,805
"RPL18AP7",531,398,534,561,590,519,597,502
"AC116038.1",112,103,99,83,135,94,136,117
"SCN11A",1692,1202,1343,1554,1300,1053,1080,819
"WDR48",138,110,86,87,169,133,108,79
"GORASP1",964,809,922,808,1014,858,1112,778
"HNRNPA1P21",218,170,162,167,246,217,153,142
"AC104850.1",768,706,712,624,1100,944,819,699
"EEF1A1P24",1206,1086,1075,883,1079,1009,1180,826
"RNU4-56P",388,325,472,520,548,460,666,511
"AC099331.1",128,96,149,94,126,145,115,97
"EIF1B",1296,1035,1451,1289,984,905,1247,973
"ENTPD3-AS1",10,10,19,18,5,11,12,15
"ZNF621",203,168,256,280,325,252,340,278
"AC099541.1",1436,1033,1649,1556,1140,973,1606,1206
"AC093414.1",3559,3008,4101,3547,3518,3045,3984,3126
"TPMTP2",220,154,182,177,263,219,273,201
"AC006059.5",45,36,26,42,58,39,43,40
"AC099329.2",41,35,29,18,37,33,36,29
"CYP8B1",250,201,321,345,319,281,332,270
"GASK1A",161,140,126,103,157,138,151,123
"AC006058.1",1339,1238,734,644,1065,903,873,652
"AC104187.1",99,77,94,88,122,104,87,74
"TCAIM",701,527,648,632,794,666,961,673
"LINC01988",50,34,88,65,29,24,44,28
"ZNF445",21,16,15,12,25,24,22,17
"AC099669.1",2353,1925,2306,2188,2222,1993,2846,2186
"ZNF660",1620,1519,2349,1989,1417,1355,2144,1576
"AC124045.1",811,650,764,680,909,844,766,552
"ZNF501",89,54,51,61,73,48,74,47
"TGM4",725,646,1024,987,741,695,1006,779
"TMEM158",45,45,51,54,50,33,55,53
"LIMD1",883,792,918,874,1031,891,1085,824
"SLC6A20",71,52,41,36,54,51,47,36
"NRBF2P2",465,415,494,578,548,452,578,462
"CCR1",293,250,343,414,284,241,430,300
"CCRL2",828,702,958,877,803,757,896,699
"AC109583.4",152,123,123,100,143,126,119,96
"PRSS43P",4925,4342,4592,3903,4701,4423,5450,4176
"AC109583.2",150,101,188,155,155,132,142,125
"PRSS42P",239,184,251,244,231,167,292,228
"CCDC12",20,10,13,10,12,10,13,12
"SETD2",505,413,416,456,575,485,492,474
"KIF9",24,24,36,20,15,11,26,29
"SNORD13P3",564,495,331,309,1124,1079,668,548
"KLHL18",97,85,100,81,83,85,106,66
"PTPN23",326,247,382,327,293,274,351,268
"BOLA2P2",140,134,246,205,206,186,240,187
"AC112512.1",1036,764,977,1021,1029,808,1093,852
"MAP4",205,145,258,256,242,254,311,219
"AC124916.2",16,16,13,11,18,12,11,7
"CAMP",497,431,368,343,441,378,451,344
"ZNF589",820,618,329,294,1027,899,611,443
"NME6",630,410,700,721,655,539,864,606
"FCF1P2",111,95,159,110,97,76,148,73
"TMA7",904,800,1010,957,1013,879,1222,993
"AC134772.1",324,273,434,406,482,435,498,451
"PFKFB4",242,137,232,255,244,188,253,231
"AC141002.1",210,137,142,194,204,182,204,207
"MIR425",74,58,55,47,80,71,47,57
"NDUFAF3",472,389,572,503,341,327,568,433
"MIR191",436,364,464,480,414,351,538,473
"RN7SL182P",14,27,16,12,18,10,21,17
"MIR6890",882,662,1008,987,918,741,1187,843
"LAMB2",29,30,28,27,23,29,37,29
"KLHDC8B",621,473,540,518,495,421,580,455
"RNA5SP130",430,331,380,342,471,413,390,300
"BSN-DT",8111,6344,7729,8246,9584,8512,10095,8914
"BSN-AS1",787,664,939,830,831,713,1106,934
"APEH",345,348,235,223,466,402,424,341
"MST1",336,219,339,333,278,208,399,270
"RNF123",3275,2438,3453,3683,3787,3205,4019,3197
"AMIGO3",1486,1125,1364,1487,1517,1266,1506,1215
"IP6K1",20,11,16,14,10,9,17,10
"RN7SL217P",1443,1170,1743,1589,1848,1638,1917,1435
"MON1A",48,44,51,36,73,67,64,48
"SEMA3F-AS1",194,168,124,100,291,266,169,134
"AC104450.1",1502,1309,1375,1187,1069,1024,1430,1116
"GNAI2",65,58,92,85,74,60,67,49
"SEMA3B-AS1",12,12,12,17,18,12,18,25
"MIR6872",182,150,129,140,173,153,161,104
"HYAL3",715,729,747,664,790,759,742,611
"HYAL1",308,276,309,270,300,277,387,278
"TUSC2",931,738,691,597,1067,941,808,607
"Z84492.1",480,285,479,496,533,440,529,439
"CISH",3933,3456,3905,3603,3430,3274,3551,3051
"LINC02019",110,72,89,100,118,99,103,97
"ST13P14",104,112,116,109,99,77,151,112
"DCAF1",343,288,370,295,341,340,356,286
"IQCF2",76,53,29,32,43,42,40,29
"IQCF5",141,127,134,136,137,95,153,116
"IQCF1",25,20,28,19,23,23,26,15
"AC115284.4",243,165,270,266,285,235,362,249
"PARP3",42,39,30,46,43,33,43,38
"GPR62",598,549,476,387,694,619,636,490
"PCBP4",40,18,21,41,29,24,34,30
"ACY1",937,723,1695,1673,760,688,1461,1204
"AC115284.3",28273,25597,35962,30534,29345,27285,34681,26312
"DUSP7",217,188,145,142,270,237,225,166
"POC1A",215,182,175,122,209,217,226,177
"AC097637.2",24,25,35,25,19,26,31,16
"AC097637.1",230,203,313,339,306,212,359,313
"TWF2",255,224,256,224,176,149,240,176
"SEMA3G",57,47,33,21,104,79,54,22
"TNNC1",590,466,900,880,742,665,971,721
"PBRM1",24,28,33,25,10,12,28,14
"RNU6-856P",686,614,544,483,592,504,679,451
"AC104446.1",114,116,119,98,105,110,99,68
"SNORD19",24,27,27,24,31,29,40,39
"SNORD69",34,28,39,35,28,31,41,36
"GLT8D1",4474,3359,3992,3877,4196,3531,5452,3786
"SPCS1",2026,1802,1741,1469,2717,2510,2462,1808
"NEK4",3464,2941,2512,2217,3179,3059,3028,2280
"AC104446.2",86,71,75,82,121,107,116,101
"ITIH3",1026,891,900,866,1640,1508,1345,1002
"AC006254.1",852,837,719,606,936,856,831,639
"MIR8064",139,121,75,67,144,147,72,64
"AC112218.1",114,77,100,136,91,71,92,91
"AC012467.1",133,111,141,160,156,156,210,147
"AC012467.2",1241,975,1323,1245,1324,1143,1337,1027
"SELENOK",2135,1831,3013,2696,1618,1423,2454,1956
"AC115282.2",963,722,1171,1173,1038,822,1284,1032
"CABYRP1",3989,3273,3449,3145,3841,3499,3427,2666
"AC092059.1",23,15,31,23,15,15,22,18
"LINC02030",49,33,39,39,34,30,35,36
"ERC2",1600,1527,1455,1250,1658,1400,1656,1296
"MIR3938",2021,1741,2215,1908,2173,2049,2477,1876
"IL17RD",12,14,14,18,11,9,20,8
"APPL1",2665,2459,2005,1647,1804,1665,2018,1559
"RNU6-1181P",1455,1099,1475,1637,1604,1399,1845,1408
"AC092418.2",438,379,256,227,298,276,272,213
"PDE12",74,66,30,45,74,66,57,42
"RNU6ATAC26P",79,75,47,42,53,33,50,33
"SLMAP",446,433,448,339,494,403,557,387
"AC137936.1",1069,771,1323,1413,847,772,1459,1083
"AC137936.2",1327,1165,1264,1087,1100,989,1699,1150
"ABHD6",352,253,385,417,419,365,446,341
"AC098479.1",475,381,562,577,393,345,601,445
"AC116036.1",773,552,750,808,572,479,795,692
"CFAP20DC-AS1",273,207,281,239,308,287,279,204
"AC104164.1",794,821,776,616,549,567,667,498
"PTPRG",96,86,104,126,131,155,122,97
"SYNPR",70,83,39,25,101,103,48,21
"THOC7",965,991,1078,816,915,815,1033,711
"PSMD6-AS2",27,21,13,6,25,22,5,10
"LINC00994",893,713,651,565,945,833,588,495
"PRDX3P4",111,78,98,88,106,91,114,86
"ADAMTS9-AS1",10,8,13,14,17,11,21,10
"MAGI1",1091,920,1023,919,1014,902,941,768
"AC121493.1",230,139,224,150,189,184,168,135
"MAGI1-AS1",41,22,8,16,18,11,5,7
"RNU6-787P",28,25,31,22,19,19,23,18
"LRIG1",2011,1616,1817,1632,1411,1255,1904,1441
"AC098969.1",361,288,423,419,414,355,463,347
"AC020655.1",683,535,897,950,611,550,969,716
"SUCLG2",1590,1517,1366,1106,2191,1961,1601,1255
"SUCLG2-AS1",67,44,49,60,83,64,68,69
"TAFA1",193,157,185,184,139,128,220,173
"COPS8P2",5188,4895,6419,5228,4821,4541,6257,4762
"AC096922.1",150,163,199,152,62,63,151,128
"RNA5SP135",694,564,790,772,771,668,822,704
"EOGT",1144,906,1302,1227,998,924,1401,1138
"FRMD4B",415,311,507,490,332,304,469,396
"AC099328.1",4928,4147,4881,4483,4697,4189,4966,4060
"AC104445.1",2634,2039,2330,2213,2341,2124,2246,1827
"SAMMSON",254,210,124,119,88,92,122,124
"AC139700.1",20,10,25,20,23,21,20,8
"AC104633.1",751,539,704,743,750,535,856,721
"AC104633.2",160,121,141,139,95,91,111,92
"COX6CP6",5756,4410,6585,6377,5124,4601,6661,5140
"RNU6-281P",560,479,484,456,504,456,509,382
"AC097634.4",112,86,116,103,99,64,117,86
"EIF4E3",1555,1130,1947,1973,1627,1294,2378,1880
"LINC00877",3789,3467,4104,3671,4383,3888,5180,3901
"PSMD12P1",820,767,812,733,802,678,761,600
"RNU6-557P",3019,2349,2151,2017,2979,2759,2390,1899
"RNU2-64P",558,483,429,378,383,356,384,275
"AC108725.1",438,292,450,456,446,371,489,408
"LINC02005",336,259,262,267,195,192,284,233
"MIR4444-2",2542,2239,2336,1931,2750,2642,2586,1932
"OR7E55P",3112,2487,4094,4037,3799,3418,4998,4007
"LSP1P2",532,419,526,560,628,534,575,460
"SNRPCP10",692,488,930,902,630,566,1000,803
"AC108724.1",234,160,136,184,403,321,259,169
"AC108724.2",44,42,24,22,21,27,18,20
"AGGF1P3",20,9,26,17,6,8,14,10
"RARRES2P1",979,846,880,724,915,865,862,649
"RN7SL751P",23,15,32,36,6,9,18,28
"AC117461.1",827,652,588,559,916,757,826,656
"MIR3923",820,635,803,867,701,604,773,651
"HMGB1P38",46,43,49,36,43,39,37,28
