"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"AC023449.1",1312,977,1802,1696,1728,1431,2138,1688
"LINC00929",5100,4799,4979,4065,4082,3695,4596,3562
"LINC02248",149,118,156,149,205,184,196,132
"AC009878.2",41,37,29,32,33,37,52,33
"GABRA5",98,103,97,98,81,79,109,83
"TVP23BP1",10,12,6,10,15,18,13,16
"AC144833.1",455,412,441,398,626,559,498,363
"AC104002.1",805,614,793,774,683,587,812,594
"AC104002.2",278,214,328,263,230,208,345,215
"AC104002.3",268,201,272,291,329,293,383,315
"AC090696.1",212,181,211,215,227,203,210,147
"RPL5P32",135,116,105,100,114,91,99,68
"AC091304.4",945,685,1498,1592,1307,1125,1740,1329
"GOLGA8F",1734,1444,1242,1120,1597,1470,1535,1197
"AC091304.2",1758,1494,1597,1467,1449,1258,1463,1188
"MIR4509-3",1508,1393,1852,1534,1339,1270,1571,1136
"AC138749.3",989,933,1841,1462,698,615,2095,1642
"AC055876.2",776,595,817,804,715,637,876,640
"AC055876.4",56,49,32,26,123,109,86,57
"AC055876.3",404,327,326,320,555,443,416,369
"PDCD6IPP2",18,16,11,13,9,4,25,20
"AC022613.1",193,178,217,156,144,145,214,162
"NCAPGP2",100,107,69,49,134,129,86,76
"AC111152.3",1054,1010,933,892,1251,1091,1109,884
"GOLGA8J",712,634,434,357,540,505,536,412
"AC019322.4",130,140,93,55,130,137,93,80
"RN7SL196P",13,12,24,17,8,6,19,13
"AC127502.1",3714,2862,4020,4180,4144,3390,5512,4069
"AC127502.3",23,17,8,10,43,39,24,21
"GOLGA8Q",272,228,246,204,194,181,311,210
"RN7SL796P",196,156,169,159,180,143,165,128
"ULK4P2",68,46,51,55,95,82,88,72
"AC026150.4",432,377,609,582,376,341,627,460
"AC091057.4",13,10,13,15,11,9,20,22
"GOLGA8UP",330,249,293,335,361,292,288,236
"RN7SL82P",428,323,565,571,587,470,574,463
"RNU6-466P",244,159,314,376,296,255,343,265
"UBE2CP4",83,89,85,61,119,100,102,48
"OTUD7A",673,542,849,769,616,515,761,642
"AC026951.2",269,283,262,188,295,238,319,196
"CHRNA7",219,210,258,242,298,246,317,193
"AC068448.1",604,488,711,654,634,574,663,495
"AC139426.3",244,190,385,304,217,182,341,219
"AC139426.1",128,100,63,50,180,148,102,69
"DNM1P31",1230,899,1179,1125,1328,1115,1377,1074
"LINC02256",620,527,502,466,755,635,611,506
"ARHGAP11A",1517,1292,1181,958,1230,1167,1249,845
"GREM1",554,563,681,586,424,437,531,426
"AC090877.1",107,93,42,29,118,102,53,52
"AC055874.1",22,10,17,16,25,24,13,14
"AC087638.1",665,569,1082,1061,829,710,1328,1058
"AC010809.2",185,142,139,150,185,143,148,126
"AC009268.2",722,584,790,699,674,623,713,523
"AC025678.3",964,750,1213,1211,844,767,1187,1074
"HNRNPLP2",138,113,152,171,183,185,250,193
"FSCN1P1",1207,939,1320,1192,1448,1297,1503,1209
"MIR1233-2",271,238,303,342,366,305,316,247
"AC100834.1",375,309,335,367,280,200,317,234
"AC100834.2",3276,2855,3816,3301,3047,2640,3856,2780
"AQR",49,27,12,19,44,38,32,24
"NANOGP8",2162,2102,1964,1495,1619,1496,1797,1356
"AC019288.1",257,181,246,283,340,279,352,331
"AC068867.1",364,305,464,422,308,285,553,450
"COX6CP4",16,21,13,9,12,10,14,7
"AC103988.1",351,290,347,362,463,444,419,312
"CSNK1A1P1",2289,1916,2071,1901,2061,1807,1957,1404
"MIR8063",1123,1017,1046,891,982,915,1002,705
"AC078909.2",225,194,168,134,254,258,266,184
"AC016304.1",428,375,358,319,294,263,350,257
"AC109631.1",74,69,101,104,103,77,140,100
"AC116158.2",859,547,909,859,985,811,1090,844
"C15orf54",138,122,245,216,81,67,195,170
"AC013652.2",311,294,399,316,350,310,428,302
"AC109630.1",2507,1898,2459,2620,2810,2214,2916,2178
"FSIP1",247,197,280,341,205,189,298,233
"AC023908.3",537,499,442,359,512,465,454,312
"EIF2AK4",1738,1212,1508,1593,1567,1342,1902,1648
"PAK6",146,88,75,112,71,65,116,90
"AC020658.6",265,247,314,297,354,292,311,229
"PLCB2",40,34,37,16,26,27,44,22
"PLCB2-AS1",411,281,400,370,524,402,412,342
"AC020658.1",29,22,15,10,17,13,11,5
"AC013356.4",5667,4573,6097,5818,6176,5376,7269,5589
"AC091045.1",1676,1400,1434,1209,1272,1185,1199,930
"RNU6-516P",564,520,589,532,604,573,601,536
"RPUSD2",418,379,403,367,490,447,496,403
"RMDN3",80,77,60,32,85,70,67,51
"SUMO2P15",110,64,50,47,86,97,77,63
"ZFYVE19",7544,6939,9929,8680,8945,8342,13036,10037
"SPINT1-AS1",28,27,19,12,24,23,32,19
"SPINT1",410,321,360,360,580,508,497,346
"DLL4",723,612,940,788,902,771,1188,857
"EXD1",1072,881,1241,1135,1113,981,1267,917
"RN7SL497P",1883,1801,1835,1517,1838,1686,1818,1273
"CHP1",121,113,62,60,176,135,64,58
"OIP5",202,148,170,156,194,127,164,150
"NUSAP1",238,146,213,228,226,204,285,187
"LTK",253,207,233,221,171,146,205,145
"ELOCP2",265,176,327,304,258,215,368,249
"AC016134.1",278,214,343,340,273,260,356,278
"AC073657.2",102,101,68,65,137,123,122,58
"AC073657.1",78,65,83,115,42,31,88,68
"MAPKBP1",141,102,97,119,108,102,112,102
"VPS39",22,14,23,7,25,17,21,16
"AC012651.1",58,66,91,96,54,50,99,78
"CAPN3",234,192,267,285,328,248,322,237
"SNAP23",44,40,42,49,40,29,58,26
"AC018362.3",541,427,369,312,356,276,371,274
"HAUS2",170,167,215,237,174,143,230,167
"AC090510.1",521,447,569,529,474,416,486,380
"AC090510.4",4483,4038,3432,3082,4150,3815,3959,3190
"KRT8P50",140,155,100,98,188,153,141,112
"AC068724.4",41,41,40,28,57,45,50,41
"RPS3AP47",19,20,9,16,21,13,18,10
"AC068724.2",127,112,76,62,105,101,87,63
"EPB42",114,108,137,141,219,158,164,136
"AC009852.1",26,19,14,17,16,25,16,15
"ZSCAN29",134,152,177,157,123,100,166,118
"RN7SL487P",29,29,30,18,18,13,37,14
"PPIP5K1",565,533,484,412,1010,938,660,547
"RNU6-554P",1641,1171,1771,2055,1837,1450,2333,1922
"AC011330.3",112,102,139,120,126,89,168,113
"CKMT1A",1285,1103,1077,950,1396,1266,1480,1097
"SERINC4",16,28,34,26,15,24,34,17
"MFAP1",2130,1599,1785,1743,1810,1625,1941,1601
"CTDSPL2",1144,847,1846,1789,771,706,1717,1409
"HNRNPMP1",225,159,328,307,262,216,342,241
