gene_symbol,comparison,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NIPSNAP1,treat_vs_con,475.823863218937,0.260871376966635,0.0863291955101651,3.02182101228915,0.00251259068920111,0.0102192374604803
RPEP4,treat_vs_con,1888.7254817855,-0.212739540667595,0.0751797470805448,-2.82974536266628,0.00465850643627102,0.017018326898224
ZMAT5,treat_vs_con,18.3327967830639,-0.342595317066843,0.234484295482943,-1.461058687795,0.143999336312335,0.259889328495398
MIR6818,treat_vs_con,21.1748147120933,0.309630285182479,0.231296031848464,1.33867530155181,0.180676400130674,0.308304365067211
HORMAD2,treat_vs_con,658.698547853784,0.374379776263636,0.127172532369774,2.94387293613898,0.00324133044598554,0.012570388841958
LIF-AS1,treat_vs_con,2514.12434418638,0.120014706328319,0.157170843493087,0.763593957129827,0.445109251492979,0.590024985807762
CASTOR1,treat_vs_con,2113.41845137234,0.285463732512136,0.13378639076301,2.13372773481728,0.0328650743747324,0.0822079693105034
AC004997.1,treat_vs_con,900.669979261068,-0.221861366261168,0.102976891630202,-2.15447721084735,0.0312027672640367,0.0788422959966187
SEC14L3,treat_vs_con,18.6087539150149,0.285705431671912,0.237306756613913,1.20394984006604,0.228608966411626,0.366624917969008
SDC4P,treat_vs_con,427.274222476862,0.0549279929574028,0.111776965855365,0.49140708496666,0.623138554198567,0.743784887827822
SEC14L4,treat_vs_con,19.2524829048581,-0.404584700714185,0.249276315553899,-1.62303706958757,0.10458148075023,0.203556613200908
SIRPAP1,treat_vs_con,22.5429851323913,-0.207200295457594,0.228643948063691,-0.90621377566432,0.364822713008395,0.513366704763136
PES1,treat_vs_con,229.472694591589,-0.175559248630592,0.119979339721222,-1.46324566411612,0.143400169781152,0.259020018716254
TCN2,treat_vs_con,41.6149717856231,-0.0970670084065302,0.229034638458486,-0.423809293912214,0.671704899575642,0.781267679607427
SLC35E4,treat_vs_con,60.1703477354486,-0.437023422803844,0.169427460298621,-2.57941317206536,0.00989683350574103,0.0315990146548913
AC003072.1,treat_vs_con,2253.44925291664,0.110745804393222,0.108445260927044,1.02121386814428,0.307153123290954,0.454427597843021
TUG1,treat_vs_con,42.452078902797,-0.156409992742932,0.192465765846777,-0.812663966782799,0.416410745866511,0.563256856545067
AC004542.2,treat_vs_con,71.5008489753641,-0.193719572340159,0.221230811987241,-0.875644629245097,0.381223255414399,0.529444339330356
SMTN,treat_vs_con,3495.76745095258,0.358811627379006,0.0606235344238213,5.91868538826095,3.24525064885795e-09,9.20541594899393e-08
AC005005.2,treat_vs_con,26.0038475460602,0.0573810806277404,0.230594051019948,0.248840247065943,0.80348435743131,0.876285753023008
INPP5J,treat_vs_con,302.697884001466,-0.434294170325989,0.105092132428579,-4.13250887854175,3.58824901629884e-05,0.000302239468179626
MIR3928,treat_vs_con,58.4543452423977,-0.516469087898396,0.175157800149017,-2.94859313978028,0.00319223931227584,0.0124267015206177
RNF185-AS1,treat_vs_con,424.812121272384,-0.0830605446808994,0.093071099463604,-0.892441855308487,0.372156145152594,0.520222979966453
LIMK2,treat_vs_con,1334.31389088194,-0.25399893431103,0.105735585854719,-2.4022086060981,0.0162964122483988,0.0471005689089795
PIK3IP1,treat_vs_con,20.0261932376804,0.252099138105175,0.23755924507152,1.06120533439681,0.2885965956703,0.433836733345192
